"methods","samples.P","samples.delta","samples.N0","samples.sigma.d","samples.sigma.p","samples.tau"
"Euc. Summary",6.43326366546792,0.411772105744921,14.8492830825666,0.924136354459524,0.321848982453137,6.52494743665449
"Euc. Summary",6.43326366546792,0.411772105744921,14.8492830825666,0.924136354459524,0.321848982453137,6.52494743665449
"Euc. Summary",6.43326366546792,0.411772105744921,14.8492830825666,0.924136354459524,0.321848982453137,6.52494743665449
"Euc. Summary",6.43326366546792,0.411772105744921,14.8492830825666,0.924136354459524,0.321848982453137,6.52494743665449
"Euc. Summary",7.89117593604796,0.498031977723088,15.4080657773527,0.980672998067382,0.342786493883657,6.07204226727768
"Euc. Summary",6.69841686462064,0.363545789811088,15.6709492572867,0.853860526503576,0.321962645040609,5.94786160295545
"Euc. Summary",6.69841686462064,0.363545789811088,15.6709492572867,0.853860526503576,0.321962645040609,5.94786160295545
"Euc. Summary",5.61996670136524,0.254416229397891,16.0466910766859,0.797125798886709,0.31150118567532,6.76054292398012
"Euc. Summary",9.85556695671712,0.154150186720624,15.9854155852411,0.728230952837297,0.363516061451377,7.68020405799422
"Euc. Summary",9.35354828830579,0.34639101994857,14.6100092172526,0.820195248231193,0.329536233156978,5.35937051477411
"Euc. Summary",4.94265850980709,0.341067664554021,15.7389868525816,0.872893699356379,0.301946513972018,5.84307174701863
"Euc. Summary",8.18119119456939,0.409057933831973,15.6570452819447,0.942278499706791,0.341580835279618,6.61955926592098
"Euc. Summary",9.84872143069183,0.287665600558816,15.4672248267309,0.8451655111567,0.360326149254191,6.98970407282326
"Euc. Summary",8.03248645125084,0.1725362988834,15.0006462439253,0.753988315183565,0.336988545626459,7.18579080003727
"Euc. Summary",6.55386256781536,0.3189602493121,15.555286649557,0.84079427739223,0.308049589458899,6.74912915999375
"Euc. Summary",6.55386256781536,0.3189602493121,15.555286649557,0.84079427739223,0.308049589458899,6.74912915999375
"Euc. Summary",6.72020005558135,0.328732305736276,14.7643534963491,0.876778315514194,0.324800432772219,7.30011066976593
"Euc. Summary",8.35646070296096,0.256819458243988,15.3461460129099,0.834920615671213,0.332585412238526,6.07360246355288
"Euc. Summary",7.10553798210286,0.365267815908813,15.0365842783995,0.897542275206342,0.325003097345438,6.99967506840775
"Euc. Summary",7.56138061272539,0.298241517858344,14.7852733093294,0.79491387702523,0.30833650990495,5.69831323728108
"Euc. Summary",8.50997221881193,0.297234940781008,15.3669005963292,0.873256812095409,0.337837072656134,7.13479067613223
"Euc. Summary",9.26974698775009,0.422221597025174,14.8017345530119,0.902173194870546,0.338609832828702,5.00560151482939
"Euc. Summary",8.55875909397711,0.40314359458841,14.9451158702124,0.87640294145924,0.331429006041845,5.41710535750947
"Euc. Summary",8.8567228415621,0.43520760363129,15.4916984240549,0.911991372327657,0.346790770288206,5.56459901897676
"Euc. Summary",8.93735881663917,0.192656660818885,14.5964281765374,0.771769463928811,0.338876353910214,6.60951206918921
