"methods","samples.P","samples.delta","samples.N0","samples.sigma.d","samples.sigma.p","samples.tau"
"Euc. Summary",23.7134320815763,0.411894740442931,11.5993893244516,0.684413506048678,0.120926457320191,6.50526008156056
"Euc. Summary",22.236061816321,0.331763589555091,11.73065798174,0.613794261710112,0.117593048878943,6.31544908960607
"Euc. Summary",23.8036832787154,0.366962595572562,11.8547840425831,0.62896269210906,0.119790572581297,4.88088991364744
"Euc. Summary",19.7169414226238,0.477828344231086,12.276175044236,0.674944800206689,0.115536971373469,4.33741030638646
"Euc. Summary",19.3180717885485,0.423284946499998,11.9272618624863,0.65107348166404,0.113955978648506,5.86175164419257
"Euc. Summary",23.4383178671134,0.399399742728233,11.3985496001064,0.671357856202707,0.120100732968652,7.54760812660565
"Euc. Summary",23.4383178671134,0.399399742728233,11.3985496001064,0.671357856202707,0.120100732968652,7.54760812660565
"Euc. Summary",21.8357182971042,0.539806702795941,12.8218205162796,0.681111957232089,0.121829327529293,1.94064577310737
"Euc. Summary",17.6297081560681,0.233395225232423,13.0563675968636,0.57831886981648,0.115961676736405,6.60332098885611
"Euc. Summary",17.6297081560681,0.233395225232423,13.0563675968636,0.57831886981648,0.115961676736405,6.60332098885611
"Euc. Summary",21.6143056339858,0.561461077133159,11.4183793553245,0.695723865175406,0.117034413550003,6.44791288729813
"Euc. Summary",19.0484420559064,0.25929915913376,11.8063228812675,0.626363494859651,0.114686077739255,9.63696606430559
"Euc. Summary",19.0484420559064,0.25929915913376,11.8063228812675,0.626363494859651,0.114686077739255,9.63696606430559
"Euc. Summary",17.9076164949468,0.277830690993506,11.852266037922,0.61217456840819,0.11099513579541,10.3496966480863
"Euc. Summary",16.2984985211403,0.486689568182412,13.2748514096687,0.647628128556757,0.111286089568789,4.65262991178619
"Euc. Summary",22.8032617948301,0.465455034638381,11.9021738894667,0.703379263992515,0.119944313517347,5.83076534510232
"Euc. Summary",15.5555542370609,0.350412295125627,13.0324037683117,0.635442440728329,0.111970406308318,6.58253116025664
"Euc. Summary",22.8032617948301,0.465455034638381,11.9021738894667,0.703379263992515,0.119944313517347,5.83076534510232
"Euc. Summary",21.2339222610434,0.495712584868215,12.105320791006,0.691712554876138,0.11819562022522,5.91474267538536
"Euc. Summary",14.6395790243634,0.221739538275159,13.0461461472346,0.596132164367706,0.109333079459204,5.34082648633043
"Euc. Summary",18.7215696802893,0.563722467264136,12.4937744738209,0.737316821552836,0.115579137506868,6.06005005214751
"Euc. Summary",18.7215696802893,0.563722467264136,12.4937744738209,0.737316821552836,0.115579137506868,6.06005005214751
"Euc. Summary",18.7215696802893,0.563722467264136,12.4937744738209,0.737316821552836,0.115579137506868,6.06005005214751
"Euc. Summary",21.220111347153,0.163995358223184,11.1068750620505,0.566043133668131,0.116448354577926,6.68954243805993
"Euc. Summary",20.473088454078,0.362544358007586,12.1958779165396,0.610828117833948,0.116013099238896,5.57299248359055
"Euc. Summary",20.473088454078,0.362544358007586,12.1958779165396,0.610828117833948,0.116013099238896,5.57299248359055
"Euc. Summary",18.6737771655469,0.219045201482665,12.4771851153539,0.613236331847815,0.11441461665991,7.24538478994685
"Euc. Summary",20.3930181762356,0.397108867338354,12.0330371976107,0.654096377531531,0.115524720898801,6.87097378165321
"Euc. Summary",20.3930181762356,0.397108867338354,12.0330371976107,0.654096377531531,0.115524720898801,6.87097378165321
"Euc. Summary",20.3930181762356,0.397108867338354,12.0330371976107,0.654096377531531,0.115524720898801,6.87097378165321
"Euc. Summary",16.8373465762015,0.537286704835574,11.7815148445195,0.688580022204383,0.109340427343696,9.58988632835901
"Euc. Summary",18.0366397348168,0.383755242948411,12.9240569751943,0.649494511158328,0.114498571074468,6.90514913536949
"Euc. Summary",25.7459174743918,0.335485734294466,11.4882134025488,0.639813521942212,0.123111773704563,5.82954001324291
"Euc. Summary",21.2578803510537,0.32226960462657,12.1730571217265,0.617686453658458,0.116867978371888,5.9401722149276
