"methods","samples.p","samples.mu01","samples.mu02","samples.mu11","samples.mu12"
"Euc. Summary",0.564273689294438,-0.0597867316405669,0.142438403329892,0.571680803045892,0.498243839001065
"Euc. Summary",0.0787040511696083,0.242404216791933,0.385394282972911,0.761693987234816,-0.539274843235564
"Euc. Summary",0.0787040511696083,0.242404216791933,0.385394282972911,0.761693987234816,-0.539274843235564
"Euc. Summary",0.0787040511696083,0.242404216791933,0.385394282972911,0.761693987234816,-0.539274843235564
"Euc. Summary",0.822326432427551,-0.287622893301728,0.19130089223937,0.342593705575249,0.364987053688037
"Euc. Summary",0.451842786070928,0.689691949298141,0.381509160574873,-0.211331686707203,0.312372150412928
"Euc. Summary",0.673794737440205,-0.667338840469241,0.481362929344985,0.730744330310503,0.18001416295795
"Euc. Summary",0.465161109148775,0.430012618262394,-0.1667148263179,0.0130140376152384,0.747508978510132
"Euc. Summary",0.465161109148775,0.430012618262394,-0.1667148263179,0.0130140376152384,0.747508978510132
"Euc. Summary",0.999947896923215,-0.318172830181741,-0.515210367019294,0.196102090986072,0.33295820009323
"Euc. Summary",0.445166212881871,-0.145867444720873,0.452472168607639,0.612983017066188,0.214669970443855
"Euc. Summary",0.805323180028427,-0.0903704866693219,0.904361398181308,0.210912822350519,0.195072887800826
"Euc. Summary",0.364666102251135,-0.0750077869668157,0.375124201144374,0.770837047266954,0.0964558760587995
"Euc. Summary",0.253592947020517,0.0395665287848259,0.3864516705185,0.79271607509371,-0.121395687102417
"Euc. Summary",0.253592947020517,0.0395665287848259,0.3864516705185,0.79271607509371,-0.121395687102417
"Euc. Summary",0.253592947020517,0.0395665287848259,0.3864516705185,0.79271607509371,-0.121395687102417
"Euc. Summary",0.557115285282353,0.236030362075962,0.976734460304653,0.23264284154534,-0.420347175825931
"Euc. Summary",0.272554334704378,0.0418688922578593,0.756698916780993,0.949245912827566,-0.823913250469682
"Euc. Summary",0.358259629573876,0.291177817573067,0.848496702622123,-0.0832985316808615,-0.644817999135176
"Euc. Summary",0.783381389721771,-0.0115190908792777,-0.76348264478424,0.294416447777044,0.626468876774021
"Euc. Summary",0.272554334704378,0.0418688922578593,0.756698916780993,0.949245912827566,-0.823913250469682
"Euc. Summary",0.272554334704378,0.0418688922578593,0.756698916780993,0.949245912827566,-0.823913250469682
"Euc. Summary",0.272554334704378,0.0418688922578593,0.756698916780993,0.949245912827566,-0.823913250469682
"Euc. Summary",0.55381690168797,-0.29859946159478,0.091889328770917,0.579962464021329,0.434917459061741
"Euc. Summary",0.272554334704378,0.0418688922578593,0.756698916780993,0.949245912827566,-0.823913250469682
"Euc. Summary",0.272554334704378,0.0418688922578593,0.756698916780993,0.949245912827566,-0.823913250469682
"Euc. Summary",0.191276990818537,0.512334886020986,0.428578084094521,-0.573953573906549,-0.00626995702211608
"Euc. Summary",0.191276990818537,0.512334886020986,0.428578084094521,-0.573953573906549,-0.00626995702211608
"Euc. Summary",0.586233822701267,0.749946194499987,0.908352314339473,-0.0903375285941042,-0.0513217683359931
"Euc. Summary",0.295560127639486,0.597530501332999,0.91648214590423,-0.556731970582577,-0.916376552028198
"Euc. Summary",0.662585046842277,-0.801064108846468,-0.205109534633183,0.752048610321724,0.480568884823914
"Euc. Summary",0.662585046842277,-0.801064108846468,-0.205109534633183,0.752048610321724,0.480568884823914
"Euc. Summary",0.342300013946902,0.92551569396209,0.13508251039251,-0.681603822525607,0.508604721314646
"Euc. Summary",0.337344641166928,-0.0157449370189244,0.430690193911263,0.795493040926698,0.304552977792767
"Euc. Summary",0.443716103409003,0.767867364638775,0.462198767812639,-0.321314813790472,0.172718639544635
"Euc. Summary",0.0373426893104026,0.263812211120452,0.375832340211115,-0.665342694682315,0.215895594553333
"Euc. Summary",0.370815323816588,0.0966283040958787,-0.0357372249137381,0.404208830947495,0.855234218734829
"Euc. Summary",0.537470326377544,0.244080583778619,0.704535808848116,0.366586856121777,0.0834807663731416
"Euc. Summary",0.370815323816588,0.0966283040958787,-0.0357372249137381,0.404208830947495,0.855234218734829
"Euc. Summary",0.370815323816588,0.0966283040958787,-0.0357372249137381,0.404208830947495,0.855234218734829
"Euc. Summary",0.370815323816588,0.0966283040958787,-0.0357372249137381,0.404208830947495,0.855234218734829
"Euc. Summary",0.977828075972498,-0.656735477181643,0.414633006468216,0.25629303231369,0.386438189629403
"Euc. Summary",0.977828075972498,-0.656735477181643,0.414633006468216,0.25629303231369,0.386438189629403
"Euc. Summary",0.280900751288412,0.630910604198857,0.714490670109641,-0.575209187649192,-0.364819799993366
"Euc. Summary",0.508491713941919,0.529479863304577,0.579156978190785,0.131889978200969,0.00353557640386165
"Euc. Summary",0.536236052356698,0.9221565521366,0.524755053761104,-0.380336662390554,0.225452462692191
"Euc. Summary",0.238494383657142,0.125471235481117,0.702465972445184,0.864004668538325,-0.795257010352285
"Euc. Summary",0.536236052356698,0.9221565521366,0.524755053761104,-0.380336662390554,0.225452462692191
"Euc. Summary",0.613391431902037,-0.831048107010138,0.984144874374335,0.782125516098672,-0.0208147147355893
