"methods","samples.theta1","samples.theta2minus1","samples.theta3","samples.theta2"
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
"Euc. Summary",NA,NA,NA,NA
