"methods","samples.a","samples.b","samples.g","samples.k","samples"
"epsilon = 0.1  uniform",2.92924881679937,2.01312097720802,4.06403623521328,1.00149887381122,2.92924881679937
"epsilon = 0.1  uniform",2.72157068131492,0.804272722452879,5.44885127106681,1.16384057328105,2.72157068131492
"epsilon = 0.1  uniform",2.68260691547766,0.692754224874079,2.49902201350778,1.22071860125288,2.68260691547766
"epsilon = 0.1  uniform",2.71504303207621,0.486189227085561,3.02803161786869,1.94279788527638,2.71504303207621
"epsilon = 0.1  uniform",2.21627150662243,0.900802290998399,2.50927615445107,0.762478068936616,2.21627150662243
"epsilon = 0.1  uniform",3.14476854400709,1.67529739905149,2.53575003473088,1.30044546211138,3.14476854400709
"epsilon = 0.1  uniform",2.85981077002361,0.46885714167729,0.783097692765296,1.24130368232727,2.85981077002361
"epsilon = 0.1  uniform",3.04549701279029,0.772852313239127,4.08071415498853,1.08585155336186,3.04549701279029
"epsilon = 0.1  uniform",3.04200764046982,0.539046344347298,2.8112944541499,0.113494526594877,3.04200764046982
"epsilon = 0.1  uniform",3.86604265775532,0.976717732846737,1.41010339604691,0.978847984224558,3.86604265775532
"epsilon = 0.1  uniform",3.24128139065579,0.917464592494071,4.73875399213284,0.385165838524699,3.24128139065579
"epsilon = 0.1  uniform",3.11692992923781,2.20366888213903,7.13368976954371,1.25630357302725,3.11692992923781
"epsilon = 0.1  uniform",3.64976731128991,0.368541444186121,0.240166084840894,1.08350610826164,3.64976731128991
"epsilon = 0.1  uniform",3.81106805056334,1.75520450808108,3.26185553334653,0.195847768336535,3.81106805056334
"epsilon = 0.1  uniform",3.29964058008045,1.03415049379691,4.71627861028537,1.09574002213776,3.29964058008045
"epsilon = 0.1  uniform",2.95790632022545,1.18691524723545,4.86094607505947,0.280046402476728,2.95790632022545
"epsilon = 0.1  uniform",3.51318866945803,0.439591731410474,0.419883313588798,0.50322899594903,3.51318866945803
"epsilon = 0.1  uniform",2.52975038718432,0.838287617079914,2.91358046233654,1.00942491786554,2.52975038718432
"epsilon = 0.1  uniform",2.85659676184878,0.384506657719612,9.70783318858594,1.05860135750845,2.85659676184878
"epsilon = 0.1  uniform",3.86820652754977,1.34782966924831,1.81148811941966,0.995708112604916,3.86820652754977
"epsilon = 0.1  uniform",2.55732096731663,1.01158129516989,4.01774406200275,0.324706241954118,2.55732096731663
"epsilon = 0.1  uniform",3.02708922419697,0.24937609443441,3.48084975266829,0.557197839953005,3.02708922419697
"epsilon = 0.1  uniform",2.82848915085196,0.919995137955993,8.59708542004228,0.204897541552782,2.82848915085196
"epsilon = 0.1  uniform",2.57507818052545,1.33785436162725,3.40498291421682,0.725240504834801,2.57507818052545
"epsilon = 0.1  uniform",2.85778238903731,0.556056234054267,0.46836999244988,1.1516185849905,2.85778238903731
"epsilon = 0.1  uniform",3.19197167409584,0.491241775453091,0.584415695630014,1.55520940432325,3.19197167409584
"epsilon = 0.1  uniform",3.15237538190559,2.17659217072651,3.98166293743998,1.0429375921376,3.15237538190559
"epsilon = 0.1  uniform",3.29804220004007,0.366723188199103,5.08166923420504,0.562461614608765,3.29804220004007
"epsilon = 0.1  uniform",3.14116966212168,0.323712553363293,2.80794287798926,0.678390667308122,3.14116966212168
"epsilon = 0.1  uniform",3.61773122334853,1.89624471124262,2.62831043452024,0.691380398347974,3.61773122334853
"epsilon = 0.1  uniform",3.61613461049274,1.94167346460745,5.33646932337433,0.165497176349163,3.61613461049274
"epsilon = 0.1  uniform",3.6324835405685,0.553728837985545,2.81491960864514,0.930633812677115,3.6324835405685
"epsilon = 0.1  uniform",2.7681584097445,2.20198642229661,9.07422118121758,0.0110790366306901,2.7681584097445
"epsilon = 0.1  uniform",2.49169438844547,1.42270189477131,3.77467934507877,0.53735290421173,2.49169438844547
"epsilon = 0.1  uniform",2.44868156965822,0.178052256815135,1.46247198572382,0.712185110896826,2.44868156965822
"epsilon = 0.1  uniform",3.21698828367516,1.0249308263883,4.79045723099262,1.80615429999307,3.21698828367516
"epsilon = 0.1  uniform",2.18187311664224,0.890384865924716,1.29569996381178,0.181097048334777,2.18187311664224
"epsilon = 0.1  uniform",3.25711608864367,1.21821756009012,0.432893566321582,0.768185541965067,3.25711608864367
"epsilon = 0.1  uniform",3.16218001535162,1.07891106978059,6.80919972248375,0.903985253535211,3.16218001535162
"epsilon = 0.1  uniform",3.36726202163845,0.533729640301317,3.27289938461035,0.176856382749975,3.36726202163845
"epsilon = 0.1  uniform",2.37109540728852,0.414119872730225,2.44212529156357,1.17477947380394,2.37109540728852
"epsilon = 0.1  uniform",2.88656470598653,1.85445260256529,8.15478947944939,0.977902598679066,2.88656470598653
"epsilon = 0.1  uniform",3.20526215946302,0.678760453592986,5.24650793755427,0.205850263591856,3.20526215946302
"epsilon = 0.1  uniform",3.53453307412565,1.95835016202182,6.1978002358228,0.0586188910529017,3.53453307412565
"epsilon = 0.1  uniform",3.05314690573141,0.537616305518895,3.16643590340391,0.0588792865164578,3.05314690573141
"epsilon = 0.1  uniform",2.6173983910121,1.39356948900968,6.92536873044446,0.715314105618745,2.6173983910121
"epsilon = 0.1  uniform",2.48731062514707,1.71574181877077,2.86847735289484,0.722968154586852,2.48731062514707
"epsilon = 0.1  uniform",3.57175337150693,2.80436509754509,3.46439833054319,0.554903359152377,3.57175337150693
"epsilon = 0.1  uniform",3.53675823658705,1.33940037805587,3.96846006857231,1.28546701278538,3.53675823658705
"epsilon = 0.1  uniform",2.82925175502896,1.22700540348887,8.07587291114032,0.138582575600594,2.82925175502896
"epsilon = 0.1  uniform",2.68295030575246,0.200449856929481,0.0203133653849363,0.897577335126698,2.68295030575246
"epsilon = 0.1  uniform",2.53619333729148,1.48084452841431,2.57500456646085,0.0929402746260166,2.53619333729148
"epsilon = 0.1  uniform",2.44810668285936,0.789969903416932,9.9792766966857,0.644345874898136,2.44810668285936
